,Speed: 7,Speed: 14,Speed: 21
815,10037,1942.57,1046.61
816,10040,1943.98,1047.49
817,10043,1945.39,1048.37
818,10046,1946.8,1049.24
819,10049,1948.2,1050.11
820,10052,1949.61,1050.99
821,10055,1951.01,1051.86
822,10057.9,1952.41,1052.73
823,10060.9,1953.81,1053.6
824,10063.8,1955.21,1054.47
825,10066.7,1956.6,1055.34
826,10069.6,1958,1056.21
827,10072.5,1959.39,1057.07
828,10075.4,1960.78,1057.94
829,10078.2,1962.17,1058.8
830,10081.1,1963.55,1059.67
831,10083.9,1964.94,1060.53
832,10086.8,1966.32,1061.39
833,10089.6,1967.7,1062.26
834,10092.4,1969.08,1063.12
835,10095.2,1970.46,1063.98
836,10097.9,1971.83,1064.84
837,10100.7,1973.21,1065.7
838,10103.5,1974.58,1066.55
839,10106.2,1975.95,1067.41
840,10108.9,1977.32,1068.27
841,10111.6,1978.68,1069.12
842,10114.3,1980.05,1069.98
843,10117,1981.41,1070.83
844,10119.7,1982.77,1071.68
845,10122.4,1984.13,1072.54
846,10125,1985.49,1073.39
847,10127.7,1986.84,1074.24
848,10130.3,1988.2,1075.09
849,10132.9,1989.55,1075.93
850,10135.5,1990.9,1076.78
851,10138.1,1992.25,1077.63
852,10140.7,1993.6,1078.48
853,10143.3,1994.94,1079.32
854,10145.8,1996.29,1080.17
855,10148.4,1997.63,1081.01
856,10150.9,1998.97,1081.85
857,10153.4,2000.31,1082.69
858,10155.9,2001.64,1083.54
859,10158.4,2002.98,1084.38
860,10160.9,2004.31,1085.22
861,10163.4,2005.64,1086.05
862,10165.8,2006.97,1086.89
863,10168.3,2008.3,1087.73
864,10170.7,2009.62,1088.57
865,10173.2,2010.95,1089.4
866,10175.6,2012.27,1090.24
867,10178,2013.59,1091.07
868,10180.4,2014.91,1091.9
869,10182.7,2016.23,1092.73
870,10185.1,2017.54,1093.57
871,10187.5,2018.85,1094.4
872,10189.8,2020.17,1095.23
873,10192.2,2021.48,1096.06
874,10194.5,2022.79,1096.88
875,10196.8,2024.09,1097.71
876,10199.1,2025.4,1098.54
877,10201.4,2026.7,1099.36
878,10203.6,2028,1100.19
879,10205.9,2029.3,1101.01
880,10208.2,2030.6,1101.84
